Metrics and Terms,Description,Logic,Time Scope
Underpaid Revocery$,Total dollars of Underpayments based on last allowed amount compared to first allowed amount where last allowed has increased. Primary Payers only.,"Last Primary Allowed minus First Primary Allowed where Last Primary Allowed greater then First Primary Allowed
0.0 SQL Filters

0.2 Initial Primary Allowed greater then $0 
0.3 Last Primary Allowed greater then Initial Primary Allowed 
0.4 Time scope based on Last Primary Payment Date ",Monthly/Weekly
Charge Lag,Days from DOS to charge creation ,"Average of Charge Create Date minus Date of Service at encounter level
0.0 SQL Filters

0.2 Charge Create Date not null
0.3 Time scope based on Charge Create Date ",Monthly/Weekly
Claim Lag,Days from charge creation to claim submission. Primary Payers only.,"Average of Claim Submit Date minus Charge Create Date at encounter level. 
0.0 SQL Filters

0.2 Claim Submit Date not null
0.3 Time scope based on Claim Submit Date ",Monthly/Weekly
Payment Lag,Days from Claim Submit Date to Payment Deposit Date. Primary Payers only.,"Average days of Initial Primary Payment Deposit Date minus Claim Submit Date at encounter level
0.0 SQL Filters

0.2 Claim Submit Date not null
0.3 Time scope based on Initial Primary Payment Deposit Date",Monthly/Weekly
Payment Post Lag,Days from Primary Payment Deposit Date to Payment Posting Date ,"Average days of Payment Posting Date minus Primary Payment Deposit Date at encounter level
0.0 SQL Filters

0.2 Claim Submit Date not null
0.3 Time scope based on Payment Posting Date ",Monthly/Weekly
Timely Denial Count,Total number of Timely filing write offs for reporting month based on write off adjustment date. ,"Total count of unique encounters that had 1 or more timely filing denials 
0.0 SQL Filters

0.2 Timely denial tied to  Last Primary Payment
0.3 Time scope based on Last Primary Payment Date ",Monthly/Weekly
Contract Expected,"If no Contract Expected exists, set field valued to NULL, as a Expected of $0.00 can be a valid expected for contracts. ","If no Contract Expected exists, set field valued to NULL, as a Expected of $0.00 can be a valid expected for contracts. ",N/A
Allowed Amount,Use Last Allowed Amount based on primary payer contracted payment,Use Last Allowed Amount based on primary payer contracted payment,N/A
Contracted Amount,Charges minus Contractual Addjustment,Charges minus Contractual Addjustment,N/A
Max Allowed,Max allowed based on primary insurance payments,Max allowed based on primary insurance payments,N/A
Implied Expected,"1.1 Set to $0 if valid denial like bundled or duplicate and no payment exists
1.2 (else) Use Contract Expected if exists 
1.3  (else) Use Medicare Rate if > $0 and Total Payments < Medicare Rate
1.4 (else) Use Total Payments if > 0 And > Medicare Rate
1.5 (else) Use Total Payments if > 0 and > 50% of Billed Charge
1.6 (else) Use 50% of Billed Charge
","1.1 Set to $0 if valid denial like bundled or duplicate and no payment exists
1.2 (else) Use Contract Expected if exists 
1.3  (else) Use Medicare Rate if > $0 and Total Payments < Medicare Rate
1.4 (else) Use Total Payments if > 0 And > Medicare Rate
1.5 (else) Use Total Payments if > 0 and > 50% of Billed Charge
1.6 (else) Use 50% of Billed Charge
",N/A
Implied Total Payment,Total payment minus credit balnce,Total payment minus credit balnce,N/A
Implied Insurance Payment,Lesser of; 1) Total Insurance Payments or 2) Max Allowed,Lesser of; 1) Total Insurance Payments or 2) Max Allowed,N/A
Implied Patient Payment,Lesser of; 1) Total Patient Payments or 2) Max Allowed - Implied Insurance Payment ,Lesser of; 1) Total Patient Payments or 2) Max Allowed - Implied Insurance Payment ,N/A
